transaction_id,customer_id,amount,timestamp
txn_2025000,cust_103,211.23,2025-05-30 15:57:00
txn_2025001,cust_109,536.6,2025-08-30 15:21:00
txn_2025002,cust_109,375.68,2025-08-10 16:32:00
txn_2025003,cust_109,517.33,2025-08-11 17:23:00
txn_2025004,cust_106,408.59,2025-06-23 13:36:00
txn_2025005,cust_110,503.43,2025-07-31 19:40:00
txn_2025005,cust_105,122.21,2025-04-06 20:24:00
txn_2025005,cust_100,464.87,2025-04-06 10:27:00
txn_2025008,cust_106,320.42,2025-02-09 13:56:00
txn_2025009,cust_102,170.1,2025-06-16 10:38:00
txn_2025010,cust_103,360.54,2025-08-25 10:15:00
txn_2025011,cust_106,417.86,2025-04-02 10:19:00
txn_2025012,cust_106,171.35,2025-04-09 13:16:00
txn_2025013,cust_112,506.41,2025-09-07 20:45:00
txn_2025014,cust_102,,2025-07-08 11:42:00
txn_2025015,cust_112,93.25,
txn_2025016,cust_110,401.63,2025-05-01 10:47:00
txn_2025017,cust_104,241.03,2025-06-18 18:34:00
txn_2025018,cust_105,132.79,2025-09-15 11:42:00
txn_2025019,cust_101,194.77,2025-08-02 14:09:00
txn_2025020,cust_105,,2025-05-14 14:00:00
txn_2025021,cust_107,473.07,2025-06-21 18:06:00
txn_2025022,cust_100,414.54,2025-09-07 11:30:00
txn_2025023,cust_110,175.38,2025-02-19 18:59:00
txn_2025024,cust_100,89.54,2025-05-31 19:20:00
txn_2025025,cust_106,229.09,2025-03-11 19:59:00
txn_2025026,cust_109,409.85,2025-07-10 08:22:00
txn_2025027,cust_104,394.7,2025-01-15 17:04:00
txn_2025027,cust_114,229.66,2025-04-06 11:14:00
txn_2025029,cust_109,596.22,2025-04-10 08:56:00
txn_2025030,cust_114,541.93,2025-05-06 18:18:00
txn_2025031,cust_108,100.73,2025-07-09 20:04:00
txn_2025032,cust_113,-100.0,2025-03-08 13:17:00
txn_2025033,cust_112,205.28,2025-02-06 15:12:00
txn_2025034,cust_107,,2025-01-05 13:48:00
txn_2025035,cust_113,522.8,2025-03-09 12:10:00
txn_2025036,cust_102,180.73,2025-01-21 13:47:00
txn_2025037,cust_100,238.93,2025-01-04 11:50:00
txn_2025038,cust_107,592.02,2025-02-07 13:07:00
txn_2025039,cust_112,121.0,2025-06-29 08:33:00
txn_2025040,cust_106,511.44,2025-02-13 21:08:00
txn_2025041,cust_111,212.79,2025-02-19 14:41:00
txn_2025042,cust_103,480.47,2025-03-31 14:11:00
txn_2025043,cust_100,103.75,2025-08-02 12:14:00
txn_2025044,cust_108,572.48,2025-08-21 18:38:00
txn_2025045,cust_106,83.03,2025-03-05 21:50:00
txn_2025046,cust_104,283.35,2025-03-05 18:59:00
txn_2025047,cust_100,369.73,2025-05-24 15:05:00
txn_2025048,cust_102,288.55,2025-04-18 16:11:00
txn_2025049,cust_103,456.43,2025-06-13 16:39:00
txn_2025049,cust_101,101.79,2025-04-09 12:25:00
txn_2025051,cust_105,249.32,2025-01-20 17:43:00
txn_2025051,cust_111,348.1,2025-05-02 21:50:00
txn_2025053,cust_113,352.59,2025-08-18 09:22:00
txn_2025054,cust_104,491.63,2025-04-16 15:31:00
txn_2025055,cust_106,,2025-01-25 12:47:00
txn_2025056,cust_108,241.54,2025-03-15 09:42:00
txn_2025057,cust_104,,2025-05-27 13:40:00
txn_2025058,cust_106,157.47,2025-07-18 10:05:00
txn_2025059,cust_109,412.11,2025-06-19 22:33:00
txn_2025060,cust_112,190.89,2025-08-06 18:53:00
txn_2025061,cust_110,86.48,2025-07-27 09:07:00
txn_2025062,cust_104,590.92,2025-03-05 14:23:00
txn_2025063,cust_113,563.07,2025-08-19 20:51:00
txn_2025064,cust_106,285.9,2025-08-28 08:43:00
txn_2025065,cust_103,361.87,2025-09-01 18:42:00
txn_2025066,cust_113,invalid_price,2025-06-27 22:38:00
txn_2025067,cust_106,498.3,2025-08-21 19:11:00
txn_2025068,cust_114,77.22,2025-02-20 22:15:00
txn_2025069,cust_103,54.82,2025-02-09 19:14:00
txn_2025070,cust_105,,2025-09-04 11:21:00
txn_2025071,cust_110,110.22,2025-01-16 20:03:00
txn_2025072,cust_100,60.07,2025-05-23 21:36:00
txn_2025073,cust_105,-100.0,2025-08-07 18:23:00
txn_2025074,cust_102,,2025-01-22 16:27:00
txn_2025075,cust_105,105.58,2025-06-15 19:49:00
txn_2025076,cust_104,524.69,2025-07-05 09:17:00
txn_2025077,cust_106,436.74,2025-06-08 21:58:00
txn_2025078,cust_101,,2025-05-14 16:30:00
txn_2025078,cust_104,199.66,2025-04-11 13:02:00
txn_2025080,cust_111,137.96,2025-07-13 13:26:00
txn_2025081,cust_104,256.49,2025-04-20 12:51:00
txn_2025082,cust_100,131.06,2025-05-13 13:48:00
txn_2025083,cust_101,51.6,2025-01-17 10:27:00
txn_2025083,cust_110,417.86,2025-04-23 13:10:00
txn_2025085,cust_101,477.22,2025-07-25 14:36:00
txn_2025086,cust_109,55.77,2025-06-02 22:40:00
txn_2025087,cust_112,454.29,2025-04-10 19:45:00
txn_2025088,cust_101,214.92,2025-07-07 21:25:00
txn_2025089,cust_114,526.69,2025-08-16 08:37:00
txn_2025090,cust_114,invalid_price,2025-09-14 12:28:00
txn_2025091,cust_109,161.37,2025-09-05 15:41:00
txn_2025092,cust_101,339.46,2025-07-15 11:21:00
txn_2025093,cust_100,560.09,2025-07-24 16:51:00
txn_2025094,cust_103,599.66,2025-07-10 16:16:00
txn_2025095,cust_108,176.11,2025-05-13 13:34:00
txn_2025096,cust_107,516.61,2025-04-03 09:55:00
txn_2025097,cust_112,129.03,2025-02-19 20:35:00
txn_2025098,cust_113,135.72,2025-07-13 19:29:00
txn_2025099,cust_105,209.56,2025-07-22 08:46:00
txn_2025100,cust_113,233.94,2025-07-25 20:59:00
txn_2025101,cust_106,426.81,2025-07-22 22:17:00
txn_2025102,cust_107,546.94,2025-05-26 17:26:00
txn_2025103,cust_114,268.97,
txn_2025104,cust_113,510.54,2025-07-03 09:38:00
txn_2025105,cust_108,470.82,2025-04-01 12:28:00
txn_2025106,cust_106,430.01,2025-05-15 17:45:00
txn_2025107,cust_110,213.6,2025-07-27 11:24:00
txn_2025108,cust_104,264.52,2025-07-26 12:00:00
txn_2025108,cust_100,96.36,2025-06-07 15:44:00
